"source","date","followers","following","publications"
"Instagram","2019-02-17","261","68","20"
"Twitter","2019-02-17","1209","344","1203"
"Instagram","2019-02-19","260","68","20"
"Twitter","2019-02-19","1209","345","1208"
"Instagram","2019-02-21","265","68","20"
"Twitter","2019-02-21","1221","347","1211"
"Instagram","2019-02-23","261","68","20"
"Twitter","2019-02-23","1223","347","1211"
"Instagram","2019-02-25","262","68","20"
"Twitter","2019-02-25","1223","347","1211"
"Instagram","2019-02-26","264","68","20"
"Twitter","2019-02-26","1227","347","1212"
"Instagram","2019-02-27","264","68","20"
"Twitter","2019-02-27","1224","347","1212"
"Instagram","2019-02-28","263","68","20"
"Twitter","2019-02-28","1225","347","1212"
"Instagram","2019-03-01","265","68","20"
"Twitter","2019-03-01","1226","347","1212"
"Instagram","2019-03-02","267","68","20"
"Twitter","2019-03-02","1241","347","1212"
"Instagram","2019-03-03","268","68","20"
"Twitter","2019-03-03","1245","347","1212"
"Instagram","2019-03-04","267","68","20"
"Twitter","2019-03-04","1245","347","1212"
"Instagram","2019-03-05","266","68","20"
"Twitter","2019-03-05","1244","347","1212"
"Instagram","2019-03-06","265","68","20"
"Twitter","2019-03-06","1245","347","1212"
"Instagram","2019-03-07","265","68","20"
"Twitter","2019-03-07","1246","347","1212"
"Instagram","2019-03-08","265","68","20"
"Twitter","2019-03-08","1248","347","1212"
"Instagram","2019-03-09","265","68","20"
"Twitter","2019-03-09","1249","347","1215"
"Instagram","2019-03-10","265","68","20"
"Twitter","2019-03-10","1250","347","1217"
"Instagram","2019-03-11","266","68","20"
"Twitter","2019-03-11","1252","347","1218"
"Instagram","2019-03-12","268","68","20"
"Twitter","2019-03-12","1253","347","1221"
"Instagram","2019-03-13","268","68","20"
"Twitter","2019-03-13","1254","347","1222"
"Instagram","2019-03-14","268","68","20"
"Twitter","2019-03-14","1254","347","1223"
"Instagram","2019-03-15","271","68","20"
"Twitter","2019-03-15","1253","347","1223"
"Instagram","2019-03-16","272","68","20"
"Twitter","2019-03-16","1256","347","1224"
"Instagram","2019-03-17","272","68","20"
"Twitter","2019-03-17","1258","347","1224"
"Instagram","2019-03-18","276","68","20"
"Twitter","2019-03-18","1258","347","1226"
"Instagram","2019-03-19","274","68","20"
"Twitter","2019-03-19","1256","347","1226"
"Instagram","2019-03-20","275","68","20"
"Twitter","2019-03-20","1258","347","1226"
"Instagram","2019-03-21","276","68","20"
"Twitter","2019-03-21","1260","347","1228"
"Instagram","2019-03-22","276","68","20"
"Twitter","2019-03-22","1264","347","1231"
"Instagram","2019-03-23","277","68","20"
"Twitter","2019-03-23","1266","346","1231"
